source,dest,value,step_from,step_to
current_est_smoker,current_est_smoker,7298,1,2
current_est_smoker,current_est_smoker,7518,2,3
current_est_smoker,former_est_smoker,889,1,2
current_est_smoker,former_est_smoker,863,2,3
current_exp_smoker,current_est_smoker,524,1,2
current_exp_smoker,current_est_smoker,160,2,3
current_exp_smoker,current_exp_smoker,533,1,2
current_exp_smoker,current_exp_smoker,372,2,3
current_exp_smoker,former_est_smoker,73,1,2
current_exp_smoker,former_est_smoker,30,2,3
current_exp_smoker,former_exp_smoker,239,1,2
current_exp_smoker,former_exp_smoker,189,2,3
former_est_smoker,current_est_smoker,432,1,2
former_est_smoker,current_est_smoker,521,2,3
former_est_smoker,former_est_smoker,3175,1,2
former_est_smoker,former_est_smoker,3916,2,3
former_exp_smoker,current_est_smoker,100,1,2
former_exp_smoker,current_est_smoker,46,2,3
former_exp_smoker,current_exp_smoker,156,1,2
former_exp_smoker,current_exp_smoker,126,2,3
former_exp_smoker,former_est_smoker,298,1,2
former_exp_smoker,former_est_smoker,103,2,3
former_exp_smoker,former_exp_smoker,2532,1,2
former_exp_smoker,former_exp_smoker,2588,2,3
never_smoker,current_est_smoker,27,1,2
never_smoker,current_est_smoker,13,2,3
never_smoker,current_exp_smoker,62,1,2
never_smoker,current_exp_smoker,26,2,3
never_smoker,former_est_smoker,2,1,2
never_smoker,former_est_smoker,9,2,3
never_smoker,former_exp_smoker,92,1,2
never_smoker,former_exp_smoker,82,2,3
never_smoker,never_smoker,4968,1,2
never_smoker,never_smoker,4838,2,3
